X,Y,fid,ObjectID,GlobalID,Site Name,Sample Date,Sample Time,Submitted Date,Freshwater body type,What is the main land use within 50m?,Is there any of the following on the water surface?,Which of these best describes the dominant form of algae present?,Can you see any litter (including litter caught in vegetation)?,Which of the following sources of plastic pollution can you see?,Are there any pollution sources in the immediate surroundings? (select all that apply),Can you see any of the following water uses right now? (select all that apply),What aquatic life is there evidence of? (select all that apply),Has there been any rain during the last 24 hours?,Estimate the water flow,Estimate the water level,Estimate the waterway width (by measuring the widest bank distance at your current location) (m),Nitrate (mg/L),Phosphate (mg/L),Water quality - Secchi Tube (Turbidity),Estimate the water colour,feedback_eng,feedback_core,notes,sort_order_nitrates,sort_order_phosphates,sort_order_turbidity,icon_url
-1.04596504,51.66053613,"230","306186",f8f81f21-30fa-41b8-9671-31893f72f770,Lewknor all,03/12/2022,11:00:00,03/12/2022 11:49:31,Stream,Rural_residential,,No_algae,No,,,,,,Steady,Average,1-2,1-2,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Chalgrove water level 1.07m,"4","2","1",./0.png
-1.047147829,51.65989164,"231","306187",7e64a890-432a-4e3b-9f91-e4bfb6118387,Chalgrove below Watlington STW,03/12/2022,11:15:00,03/12/2022 11:49:33,Stream,Grassland_shrub,,No_algae,No,,,,,,Steady,Average,1-2,5-10,0.2-0.5,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Chalgrove brook level 1.07 m,"6","5","1",./0.png
-1.035685382,51.75775411,"232","306188",30e25ba5-f0e2-4b75-afad-ae46289ac160,Lower Thame at Shabbington,03/12/2022,11:11:00,03/12/2022 11:51:00,River,Newly planted copse of trees,,No_algae,No,,Agricultural_runoff,Animal_access,"Plants_below_surface,Plants_emerging_from_water",Light_showers,Slow,Average,11-15,5-10,0.2-0.5,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","5","1",./0.png
-1.056089224,51.70733467,"233","306190",7ea3cb03-d0e4-4dbe-93c3-d1ee7d6adf36,Latchford All,03/12/2022,12:10:00,03/12/2022 12:24:32,Stream,Mixed_agricultural,,No_algae,No,,"Agricultural_runoff,Outfall_pipe_currently_discharging",Animal_access,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Slow,Average,3-5,5-10,0.1-0.2,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","4","1",./0.png
-0.9806317292,51.75713046,"234","306191",dcdaed1d-5571-4b75-b13c-e7e8ceb4ea40,Mid Thame Below Long Crendon STW,03/12/2022,12:22:00,03/12/2022 12:29:42,River,Livestock,,No_algae,No,,,Fishing,Plants_emerging_from_water,Light_showers,Steady,Average,6-10,5-10,0.05-0.1,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","3","1",./0.png
-1.019445067,51.67205428,"235","306192",3f0f4b54-0637-4d05-9cf4-6fb53a6b546e,Lewknor below Lewknor STW,03/12/2022,12:43:00,03/12/2022 13:06:06,Stream,Livestock,,No_algae,In_on_the_water,Recreational,Urban_road_runoff,,,Light_showers,Steady,Average,1-2,2-5,0.1-0.2,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ",None ,"5","4","1",./0.png
-1.11509818,51.74078154,"236","306193",d02cb1c7-a8ab-4ead-a508-f7f808db9400,Lower Thame below Wheatley STW,03/12/2022,12:00:00,03/12/2022 13:09:13,River,Mixed_agricultural,,No_algae,Within_1m_of_river_edge,Recreational,,,Plants_emerging_from_water,,Slow,High,16-25,2-5,0.02-0.05,<14_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",A lot of dog poo on bank.,"5","2","1",./0.png
-1.106800139,51.75135545,"237","306198",8b3bfd0a-e737-4822-8c84-ac5524ac9f12,Holton ALL,03/12/2022,15:06:00,03/12/2022 15:28:44,Stream,Arable_agricultural,,No_algae,No,,Urban_road_runoff,,,,Slow,High,3-5,0.5-1,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","1","1",./0.png
-1.094898675,51.68924899,"238","306199",994afa35-4502-4c2d-a603-3a86db14d249,Haseley below Chalgrove STW,03/12/2022,15:54:00,03/12/2022 15:57:05,River,Grassland_shrub,,No_algae,No,,,,Fish,Light_showers,Steady,Average,3-5,2-5,0.1-0.2,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ","No mammals, but a shoal of fish observed","5","4","1",./0.png
-1.16609,51.63487,"239","306202",4da399e7-c286-4c58-835e-1ee55309bd33,Lower Thame ALL,02/12/2022,11:30:00,04/12/2022 16:31:25,River,Mixed_agricultural,,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water",,Steady,Average,16-25,2-5,0.2-0.5,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","5","1",./0.png
-1.112705,51.7184448,"240","306203",daf9ca3b-8a3f-4a0b-8229-26450993f3e3,Lower Thame below G Milton STW,03/12/2022,15:00:00,04/12/2022 17:03:23,River,Grassland_shrub,,,No,,,Fishing,"Plants_below_surface,Plants_emerging_from_water",Light_showers,Steady,Average,3-5,2-5,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Location platform submerged.  Sampled at position 4, 5 metres away.","5","2","1",./0.png
-1.12607,51.70325,"241","306204",f1b082a6-4552-406a-8299-080c19cb0fdc,Haseley below L Milton STW,03/12/2022,13:00:00,04/12/2022 22:29:51,Stream,Arable_agricultural,,No_algae,In_on_the_water,,Outfall_pipe_currently_discharging,,"Plants_below_surface,Plants_emerging_from_water",,Slow,Average,3-5,5-10,0.1-0.2,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","4","1",./0.png
-1.13116,51.69881,"242","306205",846ef593-8c1c-4b36-8eb7-ce2d6b586df3,Haseley S Branch,03/12/2022,12:20:00,04/12/2022 22:36:26,Stream,Arable_agricultural,,No_algae,No,,,Public_use_of_bank,"Plants_below_surface,Plants_emerging_from_water",,Slow,Average,1-2,2-5,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","3","1",./0.png
-1.130770933,51.70715042,"243","306212",f7f3c13e-d138-4d18-8cc8-260b0d3cea2d,Lower Thame at Chippinghurst,06/01/2023,10:40:00,06/01/2023 10:48:11,River,Mixed_agricultural,,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Surging,High,6-10,2-5,0.05-0.1,<14_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Used flood sampling point,"5","3","1",./0.png
-1.067561517,51.76738454,"244","306214",fa9e8a42-950f-45ec-b6b6-b3bd2c0019ea,Worminghall ALL,07/01/2023,09:34:00,07/01/2023 10:10:39,Stream,Livestock,,No_algae,No,,Agricultural_runoff,,,Heavy_prolonged,Steady,Average,3-5,1-2,<0.02,<14_NTU,Brown,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","1","1",./0.png
-1.062500647,51.74633066,"245","306215",b2f3e4e4-b65e-46a3-9756-21a5acd74cb2,Lower Thame at Ickford,07/01/2023,10:13:00,07/01/2023 10:33:54,River,Livestock,,No_algae,No,,Agricultural_runoff,Animal_access,Plants_emerging_from_water,Heavy_prolonged,Surging,High,16-25,2-5,0.05-0.1,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Flooded at edges,"5","3","1",./0.png
-1.035685382,51.75775411,"246","306216",6a3a7ceb-97b6-4afa-b8ad-ff5f1338b3e4,Lower Thame at Shabbington,07/01/2023,11:02:00,07/01/2023 11:16:35,River,Livestock,,No_algae,No,,Agricultural_runoff,,Plants_emerging_from_water,Heavy_prolonged,Surging,High,16-25,2-5,0.1-0.2,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ",Forgot to take photograph. River very swollen - unable to sample centre,"5","4","1",./0.png
-1.014052637,51.64735168,"247","306217",028e20d9-2f42-4dee-a9f8-9579e9bcee3b,Chalgrove above STW,07/01/2023,10:25:00,07/01/2023 11:28:33,Stream,Rural_residential,,No_algae,In_on_the_water,,Urban_road_runoff,,,Heavy_prolonged,Surging,Average,1-2,1-2,0.02-0.05,150_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. High turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This high turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. High turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This high turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Despite recent heavy rain i was expecting water to be much deeper,"4","2","13",./0.png
-1.056222038,51.70739793,"248","306220",b53094c4-6448-4d0f-b081-b13813f4b2a8,Latchford All,07/01/2023,11:53:00,07/01/2023 12:07:27,Stream,Mixed_agricultural,,No_algae,No,,Agricultural_runoff,,Plants_below_surface,Heavy_prolonged,Steady,High,3-5,5-10,0.02-0.05,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","2","1",./0.png
-1.137003237,51.68254141,"249","306221",fa282a11-f2e0-4f54-8459-d58bd6c3bba4,Chalgrove All,07/01/2023,12:01:00,07/01/2023 12:13:40,Stream,Grassland_shrub,,No_algae,Within_1m_of_river_edge,Recreational,,,,Heavy_prolonged,Steady,High,3-5,1-2,0.02-0.05,17_NTU,Brown,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Despite recent heavy rainfall adjacent fields are not flooded,"4","2","3",./0.png
-1.047200652,51.65992479,"250","306223",63f39566-6278-46eb-aa55-b4c6cdcf2591,Chalgrove below watlington STW,07/01/2023,11:30:00,07/01/2023 12:14:22,Stream,Urban_green_space,,No_algae,No,,"Urban_road_runoff,Agricultural_runoff",,,Light_showers,Steady,Average,1-2,5-10,0.2-0.5,19_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Chalgrove brook 1.16mts slightly above norm,"6","5","4",./0.png
-1.045952769,51.66057451,"251","306224",a145bff3-b87b-40a4-8e53-990ceafe8955,Lewknor all,07/01/2023,11:45:00,07/01/2023 12:14:24,Stream,Rural_residential,,No_algae,No,,,,,Light_showers,Steady,Average,1-2,1-2,0.02-0.05,15_NTU,Colourless,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Chalgrove brook level 1.16mts,"4","2","2",./0.png
-1.11510941,51.74080752,"252","306225",55f48082-6758-4c95-877c-8f456c5ccf63,Lower Thame below Wheatley STW,07/01/2023,11:48:00,07/01/2023 12:40:38,River,Livestock,,No_algae,"In_on_the_water,Within_1m_of_river_edge",,,,Aquatic_birds,Heavy_prolonged,Slow,High,16-25,2-5,0.2-0.5,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Water level very high, within bank at testing point, out of bank upstream.","5","5","1",./0.png
-1.106744651,51.75167091,"253","306227",6885bdce-e2e0-4bc9-8d48-383ac1485f0a,Holton ALL,07/01/2023,14:29:00,07/01/2023 14:51:00,Stream,Grassland_shrub,,No_algae,1_5m_from_river_edge,,Urban_road_runoff,,,Heavy_prolonged,Slow,Average,3-5,2-5,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","1","1",./0.png
-1.166095251,51.63486928,"254","306232",ccce2ea1-3cd0-4659-876b-bbcb15facba0,LOWER  THAME ALL,07/01/2023,14:30:00,07/01/2023 16:20:22,River,Mixed_agricultural,,,No,,Agricultural_runoff,Public_use_of_bank,Plants_below_surface,Heavy_prolonged,Surging,High,16-25,2-5,0.2-0.5,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Local flooding in low lying areas of the fields. Very muddy footpaths to reach sample point.,"5","5","1",./0.png
-1.114865541,51.72055494,"255","306233",4e3ad781-202a-43ca-86da-da11fb2d157b,Lower Thame below G Milton STW,07/01/2023,15:30:00,07/01/2023 18:33:11,River,Grassland_shrub,,,No,,,Fishing,,Heavy_prolonged,Surging,High,6-10,2-5,<0.02,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Sample from road bridge as location flooded.,"5","1","1",./0.png
-1.13116,51.69881,"256","306234",692735e1-43c7-4b76-8359-b8530636f48d,Haseley S Branch,07/01/2023,14:04:00,07/01/2023 18:40:34,Stream,Arable_agricultural,Oily_sheen,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Slow,High,3-5,5-10,0.05-0.1,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Stream close to bursting banks, downstream fields surrounding stream flooded.","6","3","1",./0.png
-1.12607,51.70325,"257","306235",3a5d3121-fb90-4ef9-8f0b-d53d720049ad,Haseley below L Milton STW,07/01/2023,14:39:00,07/01/2023 18:45:17,Stream,Arable_agricultural,,No_algae,In_on_the_water,,"Pipe running across stream, now below water level",,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Slow,High,3-5,5-10,0.2-0.5,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","5","1",./0.png
